league,season,team,player,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,ShtCmp,ShtAtt,ShtCmp%,MedCmp,MedAtt,MedCmp%,LngCmp,LngAtt,LngCmp%,Ast,xAG,xA,A-xAG,KP,FT,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,FinalThird,CPA,Mis,Dis,Rec,PrgR,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
ESP-La Liga,2324,Real Madrid,Dani Ceballos,ESP,"MF,FW",27-300,1996,20,5,598,6.6,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,16,47,23,0,0.3,0.3,0,0.3,0.05,0.22,0.27,0.05,0.27,0,7,1,14.3,1.05,0.15,0,0,18.4,1,0,0,0.3,0.3,0.05,-0.3,-0.3,486,542,89.7,7205,1731,301,317,95,136,153,88.9,34,45,75.6,2,1.5,1,0.5,11,48,6,0,47,542,519,22,11,5,5,8,5,6,1,2,0,486,1,10,25,3.77,22,0,1,0,2,0,2,0.3,2,0,0,0,0,0,10,5,4,5,1,5,14,35.7,9,9,2,7,0,10,4,1,609,9,99,315,201,15,609,15,5,33.3,8,53.3,425,2284,1097,16,17,1,9,13,497,23,598,30,17.5,6.6,5,79,3,15,14,9,2.6,16,6,10,1.51,-0.12,11.4,7.1,4.3,0.65,-0.27,2,0,0,5,19,0,8,0,5,0,0,0,38,2,5,28.6
ESP-La Liga,2324,Real Madrid,David Alaba,AUT,DF,31-344,1992,14,14,1154,12.8,0,1,1,0,0,0,2,0,1,1,0.7,1.6,9,51,13,0,0.08,0.08,0,0.08,0.08,0.05,0.13,0.08,0.13,0,14,3,21.4,1.09,0.23,0,0,19.8,6,0,0,1,1,0.07,-1,-1,810,904,89.6,12977,4997,447,464,96.3,297,330,90,49,84,58.3,1,0.7,0.8,0.3,10,56,5,0,51,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,18,1.4,13,4,0,1,0,0,1,0.08,0,1,0,0,0,0,13,9,7,5,1,4,8,50,4,10,7,3,15,28,34,0,1004,127,474,457,80,11,1004,0,0,,0,,699,3567,2011,9,11,0,5,1,730,13,1154,82,33.7,12.8,14,82,12,0,,1,2.36,23,10,13,1.01,-0.89,21,12.9,8.1,0.63,-0.38,2,0,0,4,0,0,17,15,9,0,0,1,63,10,9,52.6
ESP-La Liga,2324,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",21-205,2002,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49,106,31,0,0.1,0.1,0,0.1,0.05,0.07,0.11,0.05,0.11,0,17,7,41.2,0.84,0.35,0,0,22.7,0,0,0,0.9,0.9,0.05,-0.9,-0.9,1205,1328,90.7,19473,4856,593,629,94.3,505,540,93.5,75,102,73.5,2,1.4,1.8,0.6,20,100,14,3,106,1328,1278,44,24,4,9,4,20,0,0,0,0,1205,6,12,58,2.87,45,0,3,1,4,5,6,0.3,5,0,1,0,0,0,76,47,39,29,8,23,39,59,16,36,8,28,29,105,29,1,1605,55,399,885,344,20,1605,69,36,52.2,18,26.1,1011,5798,3129,49,56,5,26,24,1196,31,1817,59,53.1,20.2,21,75,5,10,25,0,2.45,47,14,33,1.63,0.06,37.7,19.7,18,0.89,0.03,9,0,0,49,68,1,4,29,47,0,1,0,146,18,17,51.4
ESP-La Liga,2324,Real Madrid,Federico Valverde,URU,MF,25-316,1998,37,33,2904,32.3,2,7,9,2,0,0,2,0,3.5,3.5,5.8,9.3,104,231,102,0.06,0.22,0.28,0.06,0.28,0.11,0.18,0.29,0.11,0.29,2,56,18,32.1,1.74,0.56,0.04,0.11,23,1,0,0,3.5,3.5,0.06,-1.5,-1.5,1901,2117,89.8,29049,7780,1109,1169,94.9,612,675,90.7,126,185,68.1,7,5.8,3.4,1.2,49,229,41,4,231,2117,2077,31,23,14,33,30,5,0,0,0,0,1901,9,18,119,3.69,110,0,3,3,1,2,14,0.43,12,0,0,2,0,0,47,34,22,13,12,24,42,57.1,18,39,2,37,43,90,40,0,2448,77,384,1382,708,69,2448,44,22,50,21,47.7,1610,9227,5027,104,102,15,28,12,1925,102,2904,78,84.9,32.3,33,86,22,4,19,1,2.49,76,22,54,1.67,0.45,60.1,30.3,29.8,0.92,0.3,2,0,0,19,15,0,30,43,34,0,0,0,160,21,10,67.7
ESP-La Liga,2324,Real Madrid,Ferland Mendy,FRA,DF,28-360,1995,23,21,1720,19.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,19,84,96,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,0,5,1,20,0.26,0.05,0,0,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,1201,1275,94.2,16396,4875,759,781,97.2,356,383,93,41,50,82,0,0.9,0.7,-0.9,11,63,10,1,84,1275,1127,148,12,0,4,5,136,0,0,0,0,1201,0,8,31,1.62,27,2,1,1,0,0,3,0.16,3,0,0,0,0,0,15,10,12,2,1,11,14,78.6,3,12,2,10,13,28,26,1,1409,44,387,687,345,17,1409,28,13,46.4,13,46.4,858,3474,1505,19,21,3,20,14,1026,96,1720,75,50.3,19.1,21,80,12,2,18,5,2.43,44,9,35,1.83,0.45,34.7,16.3,18.4,0.97,0.18,5,0,0,17,15,0,5,13,10,0,0,0,97,6,5,54.5
ESP-La Liga,2324,Real Madrid,Fran Garcia,ESP,DF,24-293,1999,25,15,1398,15.5,1,5,6,1,0,0,2,0,0.5,0.5,2.4,3,53,60,139,0.06,0.32,0.39,0.06,0.39,0.03,0.16,0.19,0.03,0.19,1,9,1,11.1,0.58,0.06,0.11,1,20.9,0,0,0,0.5,0.5,0.06,0.5,0.5,841,997,84.4,12143,3312,518,554,93.5,280,327,85.6,28,68,41.2,5,2.4,1.8,2.6,16,38,14,6,60,997,866,129,7,2,3,60,122,0,0,0,0,841,2,20,34,2.19,32,0,2,0,0,0,4,0.26,4,0,0,0,0,0,25,17,11,12,2,13,31,41.9,18,16,3,13,19,44,28,1,1148,39,309,464,385,23,1148,18,8,44.4,9,50,686,3666,1956,53,30,4,22,8,747,139,1398,56,40.9,15.5,15,81,9,10,19,13,2.48,34,15,19,1.22,-0.65,26.1,15.3,10.8,0.69,-0.31,2,0,0,10,15,10,60,19,17,0,0,0,104,7,15,31.8
ESP-La Liga,2324,Real Madrid,Gonzalo García,ESP,"FW,MF",20-070,2004,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0.16,0,0.16,0.16,0.16,0,1,1,100,4.74,4.74,0,0,19.1,0,0,0,0,0,0.03,0,0,4,7,57.1,35,7,4,6,66.7,0,0,,0,0,,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,11,0,2,4,5,1,11,1,0,0,1,100,8,56,20,1,1,1,0,0,7,3,19,10,0.6,0.2,0,,0,2,10,4,3,0,0,0,0,-1.61,0.3,0.3,0,-0.13,-1.02,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
ESP-La Liga,2324,Real Madrid,Joselu,ESP,FW,34-067,1990,34,15,1687,18.7,10,2,12,10,0,2,1,0,11.6,10,1.7,11.7,15,20,98,0.53,0.11,0.64,0.53,0.64,0.62,0.09,0.71,0.53,0.62,10,61,28,45.9,3.25,1.49,0.16,0.36,12.8,0,0,2,11.6,10,0.16,-1.6,0,260,360,72.2,3248,498,171,224,76.3,59,82,72,8,11,72.7,2,1.7,2,0.3,12,16,3,0,20,360,342,15,0,2,1,6,3,0,0,0,0,260,3,9,31,1.65,23,0,1,7,0,0,5,0.27,3,0,0,2,0,0,6,3,1,4,1,0,7,0,7,11,1,10,6,12,11,0,514,13,43,236,238,99,512,14,6,42.9,7,50,292,1040,353,15,8,12,29,9,398,98,1687,50,49.3,18.7,15,84,10,19,23,2,2.5,51,10,41,2.19,1.15,38.5,17.4,21.1,1.12,0.48,1,0,0,10,14,18,6,6,3,0,0,0,36,41,34,54.7
ESP-La Liga,2324,Real Madrid,Jude Bellingham,ENG,MF,20-339,2003,28,27,2315,25.7,19,6,25,18,1,1,5,1,11.1,10.3,5.3,15.6,85,196,177,0.74,0.23,0.97,0.7,0.93,0.43,0.21,0.64,0.4,0.61,19,62,34,54.8,2.41,1.32,0.29,0.53,14.8,0,1,1,11.1,10.3,0.17,7.9,7.7,1363,1543,88.3,19609,4025,856,930,92,387,428,90.4,76,90,84.4,6,5.3,4.3,0.7,48,137,45,3,196,1543,1490,43,18,18,14,21,12,1,1,0,0,1363,10,25,99,3.85,82,0,8,4,5,0,13,0.51,10,0,1,2,0,0,42,34,14,18,10,12,36,33.3,24,55,5,50,21,63,17,0,1897,21,202,978,746,135,1896,97,50,51.5,35,36.1,1235,6812,3434,85,73,26,53,40,1554,177,2315,83,67.7,25.7,27,85,17,1,25,4,2.46,57,16,41,1.59,-0.04,46.7,23.4,23.3,0.91,0.09,5,1,0,32,72,4,21,21,34,0,0,0,118,24,25,49
ESP-La Liga,2324,Real Madrid,Kepa Arrizabalaga,ESP,GK,29-243,1994,14,13,1198,13.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,386,456,84.6,8976,5956,89,90,98.9,225,226,99.6,72,139,51.8,0,0,0,0,0,2,0,0,0,456,374,82,12,0,1,0,0,0,0,0,0,386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,474,412,471,3,0,0,474,0,0,,0,,313,1259,808,0,0,0,0,0,300,0,1198,86,35,13.3,13,90,13,1,28,21,2.36,23,9,14,1.05,-0.85,22.6,12.9,9.7,0.73,-0.24,1,0,0,0,2,0,0,0,0,0,0,0,17,2,0,100
ESP-La Liga,2324,Real Madrid,Lucas Vázquez,ESP,DF,32-337,1991,29,14,1419,15.8,3,6,9,3,0,0,0,0,1.2,1.1,3.8,4.8,28,58,160,0.19,0.38,0.57,0.19,0.57,0.07,0.24,0.31,0.07,0.31,3,12,7,58.3,0.76,0.44,0.25,0.43,13.4,0,0,0,1.2,1.1,0.09,1.8,1.9,930,1085,85.7,13262,3330,559,605,92.4,311,353,88.1,31,73,42.5,6,3.8,3.6,2.2,30,27,30,8,58,1085,952,132,10,5,7,47,120,2,0,1,0,930,1,17,60,3.81,47,1,4,3,4,1,11,0.7,8,0,1,1,1,0,37,25,22,14,1,18,25,72,7,27,5,22,12,49,36,0,1286,52,327,498,466,68,1286,47,24,51.1,19,40.4,708,3085,1454,28,22,12,18,15,911,160,1419,49,41.5,15.8,14,86,10,15,15,9,2.55,37,15,22,1.4,-0.36,29.3,15,14.2,0.9,0.04,0,0,0,22,25,5,47,12,25,1,0,0,78,4,6,40
ESP-La Liga,2324,Real Madrid,Luka Modrić,CRO,MF,38-267,1985,32,18,1688,18.8,2,6,8,2,0,0,2,0,1.3,1.3,5.5,6.8,53,196,85,0.11,0.32,0.43,0.11,0.43,0.07,0.3,0.37,0.07,0.37,2,25,10,40,1.33,0.53,0.08,0.2,21.9,1,0,0,1.3,1.3,0.05,0.7,0.7,1452,1669,87,23577,7217,790,835,94.6,459,513,89.5,150,226,66.4,6,5.5,4.8,0.5,55,162,42,4,196,1669,1506,156,67,6,27,90,9,69,15,38,0,1452,7,23,105,5.6,74,21,2,4,2,2,13,0.69,12,1,0,0,0,0,22,15,10,6,6,9,25,36,16,13,4,9,21,43,9,0,1812,22,256,977,593,49,1812,45,21,46.7,17,37.8,1202,6071,2795,53,57,13,12,19,1427,85,1688,53,49.4,18.8,18,77,4,14,21,5,2.41,43,16,27,1.44,-0.33,33.2,16.7,16.4,0.88,-0.01,2,0,0,19,21,2,90,21,15,0,0,0,92,8,8,50
ESP-La Liga,2324,Real Madrid,Mario Martín,ESP,MF,20-089,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,12,15,80,175,42,5,5,100,6,9,66.7,0,0,,0,0,0,0,0,1,0,0,0,15,14,1,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,3,3,4,75,1,2,1,1,0,5,0,0,25,2,9,13,4,0,25,0,0,,0,,12,64,18,0,0,0,2,0,15,1,18,9,0.5,0.2,0,,0,2,9,3,2,0,0,0,0,-1.61,0.1,0.5,-0.4,-1.97,-2.86,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,
ESP-La Liga,2324,Real Madrid,Nacho,ESP,DF,34-136,1990,29,18,1746,19.4,0,1,1,0,0,0,4,2,0.5,0.5,1.2,1.7,13,55,9,0,0.05,0.05,0,0.05,0.03,0.06,0.09,0.03,0.09,0,5,1,20,0.26,0.05,0,0,11.7,0,0,0,0.5,0.5,0.1,-0.5,-0.5,1183,1281,92.3,19465,7898,574,598,96,532,561,94.8,65,98,66.3,1,1.2,0.9,-0.2,5,47,3,1,55,1281,1191,89,41,0,5,3,10,0,0,0,0,1183,1,4,13,0.67,10,1,1,1,0,0,2,0.1,1,0,1,0,0,0,18,10,9,7,2,6,13,46.2,7,23,13,10,18,36,56,0,1418,202,724,632,67,18,1418,6,2,33.3,3,50,821,3372,2023,13,10,1,7,0,1028,9,1746,60,51.1,19.4,18,83,13,11,23,5,2.41,41,8,33,1.7,0.2,34.7,18.4,16.2,0.84,-0.08,4,2,0,21,13,2,3,18,10,0,0,0,82,27,18,60
ESP-La Liga,2324,Real Madrid,Nicolás Paz,ARG,"MF,FW",19-268,2004,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,6,2,0,0,0,0,0,0.31,0,0.31,0.31,0.31,0,2,0,0,7.83,0,0,,26.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,18,24,75,234,92,9,12,75,6,7,85.7,1,2,50,0,0,0,0,0,3,1,0,6,24,23,1,0,0,0,1,0,1,1,0,0,18,0,0,1,3.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,32,0,2,17,13,0,32,2,0,0,2,100,21,167,125,3,3,0,0,0,21,2,23,6,0.7,0.3,0,,0,4,6,8,2.5,1,1,0,0,-1.62,0.4,0.8,-0.4,-1.44,-2.33,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100
ESP-La Liga,2324,Real Madrid,Rodrygo,BRA,FW,23-145,2001,34,28,2380,26.4,10,5,15,10,0,1,2,0,11.7,10.9,4,14.9,159,90,301,0.38,0.19,0.57,0.38,0.57,0.44,0.15,0.59,0.41,0.56,10,86,35,40.7,3.25,1.32,0.12,0.29,15.2,4,0,1,11.7,10.9,0.13,-1.7,-0.9,883,1007,87.7,10417,1882,639,683,93.6,166,202,82.2,19,33,57.6,5,4,4.2,1,46,42,44,4,90,1007,961,42,6,3,1,32,10,13,1,6,0,883,4,17,111,4.2,71,5,22,6,5,2,14,0.53,7,0,5,1,0,1,16,15,2,9,5,5,19,26.3,14,14,0,14,8,24,6,0,1352,3,50,414,905,206,1351,147,60,40.8,68,46.3,1002,7409,4344,159,106,84,72,30,1145,301,2380,70,69.6,26.4,28,81,10,6,21,3,2.44,53,20,33,1.25,-1.18,45.6,24,21.6,0.82,-0.2,2,0,0,10,46,13,32,8,15,1,0,0,61,5,21,19.2
ESP-La Liga,2324,Real Madrid,Thibaut Courtois,BEL,GK,32-022,1992,4,4,332,3.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,113,123,91.9,2675,1889,25,25,100,63,63,100,24,34,70.6,0,0.1,0,-0.1,1,1,0,0,0,123,103,20,2,0,1,0,0,0,0,0,0,113,0,0,1,0.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,135,119,135,0,0,0,135,0,0,,0,,87,472,296,0,0,0,0,0,70,0,332,83,9.7,3.7,4,83,3,0,,1,2.5,12,0,12,3.25,1.82,7.1,3.6,3.5,0.95,0.08,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,100
ESP-La Liga,2324,Real Madrid,Toni Kroos,GER,MF,34-150,1990,33,24,2124,23.6,1,8,9,1,0,0,3,0,1.6,1.6,4.9,6.5,32,290,29,0.04,0.34,0.38,0.04,0.38,0.07,0.21,0.28,0.07,0.28,1,35,13,37.1,1.48,0.55,0.03,0.08,25.2,10,0,0,1.6,1.6,0.05,-0.6,-0.6,2291,2505,91.5,42164,15443,1087,1121,97,828,881,94,333,438,76,8,4.9,5.9,3.1,62,327,23,5,290,2505,2260,239,137,6,53,118,13,89,32,34,0,2291,6,13,100,4.24,61,34,0,4,1,0,11,0.47,6,5,0,0,0,0,53,34,19,25,9,24,59,40.7,35,22,4,18,17,70,11,1,2656,58,546,1641,492,13,2656,8,5,62.5,3,37.5,1758,8020,4189,32,51,1,8,6,2128,29,2124,64,62.1,23.6,24,80,10,9,22,5,2.48,53,19,34,1.44,-0.43,42.1,23.9,18.3,0.77,-0.27,3,0,0,17,38,3,118,17,34,0,0,0,144,8,4,66.7
ESP-La Liga,2324,Real Madrid,Vinicius Júnior,BRA,FW,23-326,2000,26,22,1864,20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137,57,277,0.72,0.24,0.97,0.68,0.92,0.63,0.21,0.84,0.59,0.8,15,77,38,49.4,3.72,1.83,0.18,0.37,14.6,0,1,1,13.1,12.3,0.16,1.9,1.7,499,690,72.3,7273,1443,312,370,84.3,115,171,67.3,43,76,56.6,5,4.2,4.4,0.8,30,37,20,2,57,690,663,22,4,10,22,56,7,5,0,0,0,499,5,34,79,3.81,43,1,19,8,6,2,10,0.48,5,0,1,3,0,1,18,13,5,5,8,3,12,25,9,13,0,13,1,19,3,2,1058,2,51,290,733,193,1057,176,65,36.9,95,54,797,6384,3440,137,74,88,71,40,888,277,1864,72,54.5,20.7,22,80,7,4,26,3,2.62,48,12,36,1.74,0.29,39.3,19.3,20,0.96,0.19,7,0,0,24,54,10,56,1,13,0,0,0,44,1,7,12.5
ESP-La Liga,2324,Real Madrid,Álvaro Muñoz,URU,FW,19-324,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,3,1,2,1,0,0,3,2,2,100,0,0,1,28,0,0,1,0,1,1,2,0,1,1,0,0,0,,0,1,1,0,3,0,0,0,0,-1.61,0,0,0,0,-0.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ESP-La Liga,2324,Real Madrid,Éder Militão,BRA,DF,26-136,1998,10,6,496,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,15,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02,0,2,2,100,0.36,0.36,0,0,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,297,329,90.3,5567,1956,110,114,96.5,156,165,94.5,28,40,70,0,0,0,0,0,13,0,0,15,329,308,20,10,0,8,1,1,0,0,0,0,297,1,2,2,0.36,2,0,0,0,0,0,1,0.18,1,0,0,0,0,0,7,3,4,3,0,6,9,66.7,3,4,3,1,4,11,19,1,376,61,204,155,20,3,376,1,0,0,0,0,244,1145,609,7,4,0,3,1,274,2,496,50,14.5,5.5,6,75,3,4,12,0,2.6,19,4,15,2.72,1.31,8.3,5.5,2.8,0.51,-0.44,0,0,0,5,5,2,1,4,3,0,0,0,19,11,13,45.8
ESP-La Liga,2324,Real Sociedad,Aihen Muñoz,ESP,DF,26-291,1997,21,11,1127,12.5,0,2,2,0,0,0,2,0,0.3,0.3,2,2.2,24,39,23,0,0.16,0.16,0,0.16,0.02,0.16,0.18,0.02,0.18,0,7,2,28.6,0.56,0.16,0,0,24.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,504,702,71.8,9001,4109,216,240,90,234,315,74.3,48,112,42.9,2,2,0.9,0,12,35,11,10,39,702,524,175,11,0,1,29,164,0,0,0,0,504,3,19,24,1.91,19,1,2,2,0,0,3,0.24,2,0,0,1,0,0,36,21,20,10,6,24,35,68.6,11,16,8,8,9,45,33,0,838,44,244,418,181,6,838,19,10,52.6,7,36.8,372,2000,917,24,23,1,14,8,429,23,1127,54,33,12.5,11,85,10,10,19,0,1.67,22,14,8,0.64,0.48,18.9,15.5,3.4,0.27,0.26,2,0,0,17,8,0,29,9,21,0,0,0,66,23,17,57.5
ESP-La Liga,2324,Real Sociedad,Alberto Dadie,ESP,MF,21-318,2002,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,3,7,42.9,47,33,2,4,50,1,1,100,0,0,,0,0,0.1,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1,1,3.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,,0,1,0,1,0,2,0,0,14,0,6,6,2,1,14,1,0,0,1,100,12,28,8,0,0,0,4,0,10,0,28,28,0.8,0.3,0,,0,1,28,0,0,1,0,1,3.21,2.92,0.9,0.1,0.8,2.73,2.65,0,0,0,4,0,0,1,0,1,0,0,0,2,0,0,
ESP-La Liga,2324,Real Sociedad,Alex Sola,ESP,"DF,MF",24-359,1999,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,12,16,75,196,75,5,5,100,7,10,70,0,0,,0,0,0,0,0,1,0,0,1,16,9,7,1,0,0,0,6,0,0,0,0,12,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,21,2,5,13,3,0,21,0,0,,0,,11,75,31,1,1,0,0,1,10,0,30,15,0.9,0.3,0,,0,2,15,1,1,0,1,-1,-3,-3.35,0.7,0.6,0.1,0.2,0.11,0,0,0,2,2,0,0,1,0,0,0,0,2,2,0,100
ESP-La Liga,2324,Real Sociedad,Ander Barrenetxea,ESP,"FW,MF",22-158,2001,29,20,1427,15.9,4,1,5,4,0,0,1,0,3.5,3.5,1.3,4.8,56,39,163,0.25,0.06,0.32,0.25,0.32,0.22,0.08,0.3,0.22,0.3,4,37,12,32.4,2.33,0.76,0.11,0.33,17.7,1,0,0,3.5,3.5,0.1,0.5,0.5,372,555,67,5706,1226,228,280,81.4,104,163,63.8,26,47,55.3,1,1.3,1.1,-0.3,13,15,15,4,39,555,545,5,0,1,9,47,4,1,0,0,0,372,5,27,41,2.58,27,1,7,2,2,2,4,0.25,2,0,0,2,0,0,32,21,7,16,9,10,26,38.5,16,18,1,17,6,38,5,0,794,8,82,307,415,68,794,78,38,48.7,30,38.5,526,3503,1479,56,35,22,55,45,586,163,1427,49,41.7,15.9,20,60,0,9,26,1,1.45,24,18,6,0.38,0.11,18.9,16.2,2.7,0.17,0.13,1,0,0,27,22,3,47,6,21,0,0,0,83,14,24,36.8
ESP-La Liga,2324,Real Sociedad,André Silva,POR,FW,28-209,1995,19,9,729,8.1,3,0,3,2,1,1,1,0,3.3,2.5,0.3,2.8,5,7,44,0.37,0,0.37,0.25,0.25,0.41,0.04,0.45,0.31,0.35,3,15,5,33.3,1.85,0.62,0.13,0.4,19.1,1,1,1,3.3,2.5,0.17,-0.3,-0.5,134,165,81.2,1654,172,91,99,91.9,34,40,85,2,2,100,0,0.3,0.2,-0.3,5,5,1,0,7,165,143,20,0,1,0,0,3,0,0,0,0,134,2,8,9,1.11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,4,0,4,3,0,3,1,3,3,0,239,3,13,99,128,25,238,23,6,26.1,16,69.6,137,727,242,5,5,4,17,18,172,44,729,38,21.3,8.1,9,65,0,10,15,9,1.42,8,8,0,0,-0.4,9.2,8.3,0.8,0.1,0.01,1,0,0,14,8,4,0,1,2,0,0,0,22,12,18,40
ESP-La Liga,2324,Real Sociedad,Aritz Elustondo,ESP,DF,30-066,1994,15,7,812,9,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,4,31,2,0,0.11,0.11,0,0.11,0.03,0.07,0.1,0.03,0.1,0,7,2,28.6,0.78,0.22,0,0,11,0,0,0,0.3,0.3,0.04,-0.3,-0.3,402,468,85.9,7493,2576,141,163,86.5,232,255,91,26,43,60.5,1,0.6,0.1,0.4,7,22,0,0,31,468,417,51,14,0,1,1,37,0,0,0,0,402,0,3,13,1.44,7,2,0,3,0,1,2,0.22,0,0,0,2,0,0,11,7,5,4,2,6,14,42.9,8,12,10,2,7,18,26,0,545,47,225,282,41,14,545,3,2,66.7,1,33.3,273,1407,661,4,5,1,3,3,322,2,812,54,23.7,9,7,86,6,8,27,10,1.73,10,8,2,0.22,-0.12,8.3,13.1,-4.8,-0.53,-0.82,2,0,0,9,10,0,1,7,7,0,0,0,38,29,13,69
ESP-La Liga,2324,Real Sociedad,Arsen Zakharyan,RUS,"MF,FW",21-007,2003,29,15,1228,13.6,1,2,3,1,0,0,1,0,2.4,2.4,2.1,4.5,28,47,88,0.07,0.15,0.22,0.07,0.22,0.18,0.15,0.33,0.18,0.33,1,33,9,27.3,2.42,0.66,0.03,0.11,21.6,6,0,0,2.4,2.4,0.07,-1.4,-1.4,379,542,69.9,5923,1795,221,256,86.3,113,156,72.4,34,85,40,2,2.1,2.3,-0.1,26,31,13,2,47,542,466,68,15,3,6,75,5,47,25,19,0,379,8,13,58,4.25,27,19,5,5,2,0,4,0.29,2,1,0,1,0,0,22,15,8,11,3,9,22,40.9,13,16,0,16,4,26,10,0,691,12,76,286,331,29,691,29,10,34.5,15,51.7,381,1854,1028,28,22,8,25,6,466,88,1228,42,35.9,13.6,15,64,0,14,19,2,1.52,15,17,-2,-0.15,-0.72,18,14.3,3.8,0.28,0.28,1,0,0,21,11,3,75,4,15,0,0,0,52,11,21,34.4
