league,season,team,player,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,ShtCmp,ShtAtt,ShtCmp%,MedCmp,MedAtt,MedCmp%,LngCmp,LngAtt,LngCmp%,Ast,xAG,xA,A-xAG,KP,FT,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,FinalThird,CPA,Mis,Dis,Rec,PrgR,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,27-060,1997,27,17,1478,16.4,4,5,9,4,0,0,6,0,6.3,6.3,3.8,10.1,38,42,155,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62,4,55,19,34.5,3.35,1.16,0.07,0.21,12.2,0,0,0,6.3,6.3,0.12,-2.3,-2.3,403,513,78.6,5315,971,259,306,84.6,111,140,79.3,10,16,62.5,5,3.8,3.2,1.2,29,18,19,1,42,513,482,23,2,8,2,9,6,0,0,0,0,403,8,18,59,3.59,37,1,9,5,3,4,8,0.49,4,1,1,1,1,0,24,17,11,5,8,5,18,27.8,13,23,1,22,13,37,12,0,782,16,75,247,472,139,782,75,35,46.7,30,40,489,2654,1146,38,21,25,61,38,567,155,1478,55,43.2,16.4,17,78,4,10,16,3,2.19,29,11,18,1.1,-0.94,31.3,11.4,19.9,1.21,-0.1,6,0,0,26,32,16,9,13,17,1,0,0,59,15,38,28.3
ENG-Premier League,2324,Arsenal,Gabriel Magalhães,BRA,DF,26-166,1997,36,34,3044,33.8,4,0,4,4,0,0,4,0,4.3,4.3,0.7,5,13,117,8,0.12,0,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15,4,31,10,32.3,0.92,0.3,0.13,0.4,7.9,0,0,0,4.3,4.3,0.14,-0.3,-0.3,1914,2157,88.7,32123,10388,841,885,95,942,1013,93,108,199,54.3,0,0.7,0.7,-0.7,3,143,9,1,117,2157,2030,122,53,2,4,4,4,0,0,0,0,1914,5,22,23,0.68,20,1,0,1,0,1,3,0.09,3,0,0,0,0,0,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1,2447,321,1049,1176,234,42,2447,5,2,40,2,40,1447,6001,3455,13,37,1,12,3,1702,8,3044,85,89,33.8,34,89,32,2,13,2,2.36,78,26,52,1.54,-0.86,65,25.7,39.3,1.16,-0.98,4,0,0,35,34,1,4,31,28,0,0,1,136,77,62,55.4
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22-350,2001,35,24,2019,22.4,6,4,10,6,0,0,1,0,6.8,6.8,6.1,12.9,127,65,345,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58,6,58,20,34.5,2.59,0.89,0.1,0.3,15.6,0,0,0,6.8,6.8,0.12,-0.8,-0.8,724,929,77.9,11003,2008,424,490,86.5,237,292,81.2,47,85,55.3,4,6.1,5.2,-2.1,46,22,33,7,65,929,878,49,3,3,3,109,11,35,30,0,0,724,2,29,92,4.1,63,6,12,8,1,2,11,0.49,7,1,1,2,0,0,30,24,9,12,9,13,32,40.6,19,23,1,22,5,35,9,1,1241,12,96,315,844,196,1241,114,40,35.1,61,53.5,856,5863,2981,127,49,82,54,41,956,345,2019,58,59,22.4,24,74,4,11,22,0,2.34,52,23,29,1.29,-0.83,43.8,14.5,29.3,1.3,0.09,1,0,0,23,24,9,109,5,24,0,0,0,95,15,26,36.6
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,24-108,2000,20,11,946,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,4,55,16,0.1,0.29,0.38,0.1,0.38,0.08,0.09,0.16,0.08,0.16,1,6,2,33.3,0.57,0.19,0.17,0.5,13.8,0,0,0,0.8,0.8,0.14,0.2,0.2,523,625,83.7,8555,3042,270,303,89.1,214,249,85.9,34,58,58.6,3,0.9,0.6,2.1,6,43,8,3,55,625,550,73,6,1,1,12,67,0,0,0,0,523,2,2,13,1.24,10,2,0,0,1,0,4,0.38,3,1,0,0,0,0,20,12,11,8,1,14,19,73.7,5,11,3,8,8,28,28,1,716,25,189,367,167,15,716,3,2,66.7,1,33.3,362,1264,681,4,8,1,8,2,462,16,946,47,27.7,10.5,11,80,7,9,7,18,2.65,39,8,31,2.95,1.82,24.8,5.4,19.4,1.85,0.8,1,0,0,10,3,0,12,8,12,0,0,0,35,15,11,57.7
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,32-165,1991,24,10,921,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,8,101,8,0,0.2,0.2,0,0.2,0.01,0.13,0.14,0.01,0.14,0,4,0,0,0.39,0,0,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,699,785,89,11386,3439,360,380,94.7,280,310,90.3,45,59,76.3,2,1.4,2.1,0.6,10,81,25,1,101,785,759,18,13,5,1,3,1,0,0,0,0,699,8,5,27,2.64,25,0,0,1,0,1,5,0.49,5,0,0,0,0,0,24,10,6,10,8,11,23,47.8,12,17,1,16,12,36,7,1,871,25,154,479,239,5,871,5,2,40,3,60,521,1941,945,8,11,0,5,4,671,8,921,38,26.9,10.2,10,78,3,14,10,13,2.42,25,11,14,1.37,-0.36,21.2,8.2,13,1.27,0.01,1,0,0,9,15,0,3,12,10,0,0,0,49,7,7,50
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22-351,2001,2,1,71,0.8,0,0,0,0,0,0,2,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,66,74,89.2,982,221,35,36,97.2,30,33,90.9,1,2,50,0,0,0,0,0,11,0,0,8,74,67,7,1,0,1,1,6,0,0,0,0,66,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,,0,1,0,1,0,2,1,0,79,0,11,51,17,1,79,1,1,100,0,0,61,249,121,0,3,0,0,1,61,5,71,36,2.1,0.8,1,49,0,1,22,0,3,3,0,3,3.8,2.22,1.9,0.3,1.6,2,0.74,2,0,0,3,0,1,1,0,2,0,0,0,4,1,1,50
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24-357,1999,37,30,2634,29.3,13,7,20,12,1,1,11,0,12.3,11.6,4.4,15.9,55,99,191,0.44,0.24,0.68,0.41,0.65,0.42,0.15,0.57,0.39,0.54,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,0.7,0.4,764,955,80,9583,2405,525,609,86.2,195,245,79.6,7,15,46.7,7,4.4,4.3,2.6,46,65,29,1,99,955,938,12,3,2,0,12,6,0,0,0,0,764,5,16,106,3.62,87,0,3,8,6,2,22,0.75,16,0,2,2,2,0,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0,1282,29,143,541,611,184,1281,42,16,38.1,19,45.2,686,3077,1532,55,36,23,54,35,918,191,2634,71,77,29.3,30,83,18,7,19,0,2.41,77,22,55,1.88,1.08,60.7,20.6,40.1,1.37,0.44,11,0,0,49,44,15,12,20,15,1,0,0,122,102,101,50.2
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",29-181,1994,34,18,1649,18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,66,76,155,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,12,60,22,36.7,3.27,1.2,0.2,0.55,16.1,0,0,0,7.9,7.9,0.13,4.1,4.1,494,673,73.4,7666,1927,271,315,86,181,241,75.1,31,60,51.7,1,2.8,3.2,-1.8,24,28,29,4,76,673,625,46,6,8,2,57,8,24,22,0,0,494,2,30,65,3.55,46,3,7,5,4,0,6,0.33,1,1,2,0,2,0,27,16,8,9,10,9,25,36,16,27,1,26,8,35,6,0,912,15,105,318,502,121,912,47,25,53.2,16,34,591,3651,1732,66,43,27,47,39,650,155,1649,49,48.2,18.3,18,72,3,16,22,3,2.32,45,10,35,1.91,0.54,37.3,13.6,23.7,1.3,0.05,2,0,0,15,20,9,57,8,16,1,0,0,88,5,10,33.3
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,25-168,1998,35,35,3091,34.3,8,10,18,6,2,2,2,0,7.4,5.8,9.6,15.5,91,344,202,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45,8,75,21,28,2.18,0.61,0.08,0.29,20.2,4,2,2,7.4,5.8,0.08,0.6,0.2,1692,2006,84.3,25780,7898,907,992,91.4,635,744,85.3,91,140,65,10,9.6,11.2,0.4,102,160,130,13,344,2006,1887,103,55,39,3,77,13,26,21,1,0,1692,16,38,220,6.41,178,17,8,10,6,1,23,0.67,18,2,0,2,1,0,49,17,18,21,10,17,58,29.3,41,23,1,22,15,64,5,0,2326,24,244,926,1173,165,2324,81,37,45.7,38,46.9,1563,8190,3514,91,83,37,53,58,1827,202,3091,88,90.4,34.3,35,88,22,0,,1,2.37,81,23,58,1.69,0.59,68.6,24.9,43.7,1.27,0.04,2,0,0,30,36,3,77,15,17,1,0,0,158,3,9,25
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31-327,1992,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,0,0,0,0,0,0,0.26,0,0.26,0.26,0.26,0,2,1,50,6.43,3.21,0,0,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,39,40,97.5,624,147,18,19,94.7,21,21,100,0,0,,0,0,0,0,0,2,0,0,1,40,39,1,1,0,0,0,0,0,0,0,0,39,0,0,1,3.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,45,1,9,30,6,1,45,0,0,,0,,27,148,62,1,0,0,1,0,37,0,28,9,0.8,0.3,0,,0,3,9,13,3,1,0,1,3.21,1.6,0.8,0.1,0.7,2.24,0.98,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,50
